"","Primary","Secondary","IM_101_Cut","BL1_Corr","BL2_Corr","M_Corr","LAR_Corr","MSL_Corr","IM_101_Corr","BL1_Cut","BL2_Cut","M_Cut","LAR_Cut","MSL_Cut"
"ACH.001113","BL2","ND","0","-0.232920843264658","0.435900784710658","0.0549950479424473","0.00190463752027079","-0.166487086557613","-0.20462337153492","0","1","0","0","0"
"ACH.001289","ND","ND","0","-0.00841305601811038","0.141868286152741","-0.170383430741938","0.186752429773294","-0.0904321894624569","-0.00782533929756968","0","0","0","0","0"
"ACH.001339","M","ND","0","0.0477900762943372","0.0232365777473036","0.217770812246275","-0.0670105897846127","0.00218761223756816","-0.247744364993851","0","0","1","0","0"
"ACH.001538","ND","ND","0","0.0508157290408245","-0.0916076229035383","0.00334127839270361","0.0935884459246199","-0.0930007292040792","-0.0785472513359672","0","0","0","0","0"
"ACH.000242","MSL","ND","0","-0.057846562401367","-0.0210598491527084","0.18849381264897","0.0278512423678454","0.229372775655467","-0.146330579771661","0","0","0","0","1"
"ACH.000708","MSL","ND","0","-0.116422328881923","-0.242128405219795","0.157083619028961","0.107323603356516","0.347743276629554","-0.0591090649862322","0","0","0","0","1"
"ACH.000327","BL2","ND","0","-0.191628301825187","0.347830345773337","-0.103013680739217","0.0170982031105452","0.0646597229024499","0.0472023595737965","0","1","0","0","0"
"ACH.000233","ND","ND","0","0.158672630903016","-0.418116912092816","0.0489655097354186","-0.0963746585257017","-0.00880486716513752","0.0489219751635267","0","0","0","0","0"
"ACH.000461","ND","ND","0","0.194806325573296","0.0421958838062276","-0.139299746411119","-0.183269664021941","-0.310738890521435","0.190714075815457","0","0","0","0","0"
"ACH.000705","BL1","M","0","0.356058379860907","-0.422056790849033","0.223321470162493","-0.200792329208433","-0.0568670345337992","-0.0305503858251434","1","0","1","0","0"
"ACH.001794","BL1","M","0","0.333159195045766","-0.301226586563054","0.300072920407919","-0.322427923074411","-0.184967512325726","-0.119012635909492","1","0","1","0","0"
"ACH.002023","ND","ND","0","-0.0068675787159478","-0.317073170731707","0.106431144632731","0.0574547512543399","0.180701124280319","0.0289831412370349","0","0","0","0","0"
"ACH.000528","ND","ND","0","-0.0405415700743353","-0.200400518061406","-0.0642243771835309","0.0977024629684048","0.0163581153883828","-0.0239113636116281","0","0","0","0","0"
"ACH.001655","BL2","ND","0","0.0263057650656828","0.355601266856042","-0.154558613859231","-0.177697238819778","-0.258671542538719","0.134358572501388","0","1","0","0","0"
"ACH.000167","MSL","ND","1","-0.0968535388165127","0.123518464100304","-0.304469912169001","0.190518170241943","0.203796214668974","0.218793874685735","0","0","0","0","1"
"ACH.000792","BL2","ND","0","-0.204884578966272","0.220578792133303","-0.0324441397024412","0.0842285129678606","-0.00889193630892132","-0.178872672260859","0","1","0","0","0"
"ACH.001098","ND","ND","0","0.0941761626451606","0.179939269272211","-0.119730956345708","-0.135969351661388","-0.203578541809514","0.0993785439862431","0","0","0","0","0"
"ACH.000570","BL2","ND","1","0.164310357963017","0.212328990759787","-0.18289962016086","-0.175106931792209","-0.157584266605718","0.272733209259803","0","1","0","0","0"
"ACH.000351","ND","ND","0","0.00303653638946028","0.10778071636138","-0.20198952993546","0.161219403358692","-0.149552138091662","0.0964399603835396","0","0","0","0","0"
"ACH.000769","ND","ND","0","-0.116465863453815","0.182573110871671","-0.00656283671270448","0.0602191965694757","-0.0510987037581219","-0.0677506775067751","0","0","0","0","0"
"ACH.000154","ND","ND","0","0.145372819190039","-0.230940020243576","0.0990738019829998","-0.0490961134510944","0.119730956345708","-0.0231495086035198","0","0","0","0","0"
"ACH.000828","LAR","ND","0","0.0978112993981346","-0.0517081877646086","-0.237491973313307","0.276020069437642","-0.213482656914923","0.108172527508408","0","0","0","1","0"
"ACH.000765","ND","ND","0","-0.0584560464078536","0.0755651331613718","-0.0740196558592092","0.120144534778681","0.148398471936527","0.0653562760527204","0","0","0","0","0"
"ACH.001375","ND","ND","0","-0.0158792350975719","0.136622370239767","-0.0119175890554086","0.113832021854355","-0.130984643179765","-0.0282648208008185","0","0","0","0","0"
"ACH.000008","LAR","ND","0","-0.223996256026817","0.1587597000468","-0.207191911276542","0.386510812899294","-0.0900621456013757","-0.109086753518138","0","0","0","1","0"
"ACH.001814","MSL","ND","0","-0.0458745551310935","-0.176238830661399","-0.106518213776515","0.189451573230592","0.21306907848195","0.0351650504456852","0","0","0","0","1"
"ACH.000800","ND","ND","0","0.0818123442278599","-0.137971941968416","-0.0256092119154123","0.13144175618463","-0.0584995809797455","0.0238460617537902","0","0","0","0","0"
"ACH.000606","BL1","M","0","0.382266192139833","-0.192803735266268","0.288100913137645","-0.355144153851177","-0.314831140279274","-0.150248691241933","1","0","1","0","0"
"ACH.000317","MSL","LAR","0","-0.301313655706838","0.0808545836462381","0.0401932934992001","0.23172364253763","0.372318542462533","-0.0408245447916327","0","0","0","1","1"
"ACH.000123","ND","ND","0","0.0629618745986657","-0.325235902961439","0.0415428652278491","0.0863834742765098","0.0798968230646162","-0.0747162090094797","0","0","0","0","0"
"ACH.000723","ND","ND","0","0.0934360749229982","-0.248636823717635","0.132007705619225","0.066422873064072","0.0613293281527193","-0.118033108041924","0","0","0","0","0"
"ACH.002066","MSL","ND","0","-0.143152556023552","-0.0817252750840761","0.170971147462479","0.0865140779921856","0.298200933816567","-0.0820953189451573","0","0","0","0","1"
