"","x"
"2","BRD.A00077618.236.07.6..2.5..HTS"
"3","BRD.A00100033.001.08.9..2.5..HTS"
"4","BRD.A00147595.001.01.5..2.5..HTS"
"5","BRD.A00218260.001.03.4..2.5..HTS"
"6","BRD.A00376169.001.01.6..2.5..HTS"
"7","BRD.A00520476.001.07.4..2.5..HTS"
"8","BRD.A00546892.001.02.6..2.5..HTS"
"9","BRD.A00578795.001.04.3..2.5..HTS"
"10","BRD.A00758722.001.04.9..2.5..HTS"
"11","BRD.A00827783.001.24.6..2.5..HTS"
"12","BRD.A00993607.003.24.6..2.5..HTS"
"13","BRD.A01098288.001.02.9..2.5..HTS"
"14","BRD.A01412266.001.01.0..2.5..HTS"
"15","BRD.A01493904.003.12.1..2.5..HTS"
"16","BRD.A01563671.001.02.7..2.5..HTS"
"17","BRD.A01593789.001.03.1..2.5..HTS"
"18","BRD.A01636364.003.15.1..2.5..HTS"
"19","BRD.A01643550.001.04.9..2.5..HTS"
"20","BRD.A01787639.003.16.9..2.5..HTS"
"21","BRD.A01907367.001.01.7..2.5..HTS"
"22","BRD.A02006392.001.16.4..2.5..HTS"
"23","BRD.A02180903.001.04.5..2.5..HTS"
"24","BRD.A02710418.003.11.8..2.5..HTS"
"25","BRD.A02743701.001.03.6..2.5..HTS"
"26","BRD.A02759312.003.24.5..2.5..HTS"
"27","BRD.A02990301.003.06.6..2.5..HTS"
"28","BRD.A03061970.003.07.3..2.5..HTS"
"29","BRD.A03216249.003.24.3..2.5..HTS"
"30","BRD.A03359064.001.02.3..2.5..HTS"
"31","BRD.A03506276.001.01.5..2.5..HTS"
"32","BRD.A03623303.045.09.5..2.5..HTS"
"33","BRD.A03880619.001.01.0..2.5..HTS"
"34","BRD.A03932035.004.04.3..2.5..HTS"
"35","BRD.A04203391.001.08.3..2.5..HTS"
"36","BRD.A04252265.003.01.4..2.5..HTS"
"37","BRD.A04322457.003.17.9..2.5..HTS"
"38","BRD.A04327189.001.15.1..2.5..HTS"
"39","BRD.A04327189.003.03.3..2.5..HTS"
"40","BRD.A04352665.001.05.3..2.5..HTS"
"41","BRD.A04497688.001.04.2..2.5..HTS"
"42","BRD.A04506385.001.01.2..2.5..HTS"
"43","BRD.A04553218.050.16.2..2.5..HTS"
"44","BRD.A04661934.001.02.9..2.5..HTS"
"45","BRD.A05186015.003.19.8..2.5..HTS"
"46","BRD.A05334458.001.02.8..2.5..HTS"
"47","BRD.A05457250.001.08.4..2.5..HTS"
"48","BRD.A05515753.001.03.2..2.5..HTS"
"49","BRD.A05523972.001.01.5..2.5..HTS"
"50","BRD.A05674712.001.06.0..2.5..HTS"
"51","BRD.A05729358.001.02.0..2.5..HTS"
"52","BRD.A05906449.004.01.1..2.5..HTS"
"53","BRD.A06352418.001.25.9..2.5..HTS"
"54","BRD.A06352508.001.03.7..2.5..HTS"
"55","BRD.A06390036.001.04.6..2.5..HTS"
"56","BRD.A06426627.001.03.5..2.5..HTS"
"57","BRD.A06627858.236.03.0..2.5..HTS"
"58","BRD.A06771424.004.01.7..2.5..HTS"
"59","BRD.A06916187.001.02.9..2.5..HTS"
"60","BRD.A06935312.001.04.3..2.5..HTS"
"61","BRD.A07000685.001.04.4..2.5..HTS"
"62","BRD.A07164067.001.01.2..2.5..HTS"
"63","BRD.A07207424.001.13.2..2.5..HTS"
"64","BRD.A07232941.001.02.7..2.5..HTS"
"65","BRD.A07395371.003.10.0..2.5..HTS"
"66","BRD.A07440155.003.25.4..2.5..HTS"
"67","BRD.A07563059.035.01.3..2.5..HTS"
"68","BRD.A07600638.060.05.2..2.5..HTS"
"69","BRD.A07704283.001.01.3..2.5..HTS"
"70","BRD.A07780951.001.08.9..2.5..HTS"
"71","BRD.A07780951.065.10.0..2.58..HTS"
"72","BRD.A07815743.001.01.1..2.5..HTS"
"73","BRD.A07870296.001.07.4..2.5..HTS"
"74","BRD.A07893380.213.01.7..2.5..HTS"
"75","BRD.A07932845.050.15.8..2.5..HTS"
"76","BRD.A07947329.001.01.4..2.5..HTS"
"77","BRD.A07986123.001.02.8..2.5..HTS"
"78","BRD.A08079565.001.01.8..2.5..HTS"
"79","BRD.A08187463.001.12.9..2.5..HTS"
"80","BRD.A08255417.001.14.7..2.5..HTS"
"81","BRD.A08302182.001.01.7..2.5..HTS"
"82","BRD.A08545410.003.07.8..2.38..HTS"
"83","BRD.A08545410.003.08.6..2.5..HTS"
"84","BRD.A08545410.311.01.8..2.5..HTS"
"85","BRD.A08545410.311.03.4..2.5..HTS"
"86","BRD.A08660406.001.05.9..2.5..HTS"
"87","BRD.A08715367.001.01.7..2.87..HTS"
"88","BRD.A08840375.001.01.3..2.5..HTS"
"89","BRD.A09056319.003.07.7..2.5..HTS"
"90","BRD.A09062839.003.10.0..2.5..HTS"
"91","BRD.A09094913.065.01.0..2.5..HTS"
"92","BRD.A09349126.001.10.7..2.5..HTS"
"93","BRD.A09370961.001.01.0..2.5..HTS"
"94","BRD.A09467419.003.22.4..2.5..HTS"
"95","BRD.A09472452.015.23.4..2.5..HTS"
"96","BRD.A09533288.003.31.2..2.5..HTS"
"97","BRD.A09554849.236.07.6..2.5..HTS"
"98","BRD.A09722536.002.18.0..2.5..HTS"
"99","BRD.A09735281.001.02.5..2.5..HTS"
"100","BRD.A09828896.004.11.0..2.5..HTS"
"101","BRD.A09925278.003.05.6..2.5..HTS"
"102","BRD.A10039652.001.01.2..2.5..HTS"
"103","BRD.A10070317.003.28.3..2.5..HTS"
"104","BRD.A10111329.001.04.6..2.5..HTS"
"105","BRD.A10420615.001.04.4..2.5..HTS"
"106","BRD.A10523515.001.07.9..2.5..HTS"
"107","BRD.A10652366.238.04.1..2.5..HTS"
"108","BRD.A10662413.043.11.2..2.5..HTS"
"109","BRD.A10739734.003.10.6..2.5..HTS"
"110","BRD.A10903566.003.07.7..2.5..HTS"
"111","BRD.A10967948.003.06.3..2.5..HTS"
"112","BRD.A10977446.001.12.1..2.5..HTS"
"113","BRD.A11070335.236.02.1..2.5..HTS"
"114","BRD.A11132253.001.08.2..2.5..HTS"
"115","BRD.A11551002.001.04.6..2.5..HTS"
"116","BRD.A11662333.001.03.3..2.5..HTS"
"117","BRD.A11731518.001.01.7..2.5..HTS"
"118","BRD.A11776908.065.01.5..2.5..HTS"
"119","BRD.A11813248.003.02.4..2.5..HTS"
"120","BRD.A11815689.001.01.1..2.5..HTS"
"121","BRD.A11990600.001.03.4..2.5..HTS"
"122","BRD.A12077521.003.01.5..2.5..HTS"
"123","BRD.A12230535.001.06.7..2.5..HTS"
"124","BRD.A12237696.001.04.2..2.5..HTS"
"125","BRD.A12417644.001.07.6..2.31..HTS"
"126","BRD.A12454076.001.01.9..2.5..HTS"
"127","BRD.A12896037.001.04.3..2.5..HTS"
"128","BRD.A12994259.001.02.1..2.5..HTS"
"129","BRD.A13084692.001.17.3..2.5..HTS"
"130","BRD.A13133631.001.04.0..2.5..HTS"
"131","BRD.A13188892.066.21.5..2.5..HTS"
"132","BRD.A13323580.001.04.8..2.5..HTS"
"133","BRD.A13561534.003.02.0..2.5..HTS"
"134","BRD.A13598753.001.01.2..2.5..HTS"
"135","BRD.A13946108.001.17.1..2.5..HTS"
"136","BRD.A13964793.001.02.6..2.5..HTS"
"137","BRD.A14208071.004.19.8..2.5..HTS"
"138","BRD.A14240607.003.26.1..2.5..HTS"
