"","x"
"1","TSPAN6..7105."
"2","TNMD..64102."
"3","DPM1..8813."
"4","SCYL3..57147."
"5","C1orf112..55732."
"6","FGR..2268."
"7","CFH..3075."
"8","FUCA2..2519."
"9","GCLC..2729."
"10","NFYA..4800."
"11","STPG1..90529."
"12","NIPAL3..57185."
"13","LAS1L..81887."
"14","ENPP4..22875."
"15","SEMA3F..6405."
"16","CFTR..1080."
"17","ANKIB1..54467."
"18","CYP51A1..1595."
"19","KRIT1..889."
"20","RAD52..5893."
"21","BAD..572."
"22","LAP3..51056."
"23","CD99..4267."
"24","HS3ST1..9957."
"25","AOC1..26."
"26","WNT16..51384."
"27","HECW1..23072."
"28","MAD1L1..8379."
"29","LASP1..3927."
"30","SNX11..29916."
"31","TMEM176A..55365."
"32","M6PR..4074."
"33","KLHL13..90293."
"34","CYP26B1..56603."
"35","ICA1..3382."
"36","DBNDD1..79007."
"37","ALS2..57679."
"38","CASP10..843."
"39","CFLAR..8837."
"40","TFPI..7035."
"41","NDUFAF7..55471."
"42","RBM5..10181."
"43","MTMR7..9108."
"44","SLC7A2..6542."
"45","ARF5..381."
"46","SARM1..23098."
"47","POLDIP2..26073."
"48","PLXND1..23129."
"49","AK2..204."
"50","CD38..952."
"51","FKBP4..2288."
"52","KDM1A..23028."
"53","RBM6..10180."
"54","CAMKK1..84254."
"55","RECQL..5965."
"56","VPS50..55610."
"57","HSPB6..126393."
"58","ARHGAP33..115703."
"59","NDUFAB1..4706."
"60","PDK4..5166."
"61","SLC22A16..85413."
"62","ZMYND10..51364."
"63","ABCB5..340273."
"64","ARX..170302."
"65","SLC25A13..10165."
"66","ST7..7982."
"67","CDC27..996."
"68","SLC4A1..6521."
"69","CALCR..799."
"70","HCCS..3052."
"71","DVL2..1856."
"72","PRSS22..64063."
"73","UPF1..5976."
"74","SKAP2..8935."
"75","SLC25A5..292."
"76","MCUB..55013."
"77","HOXA11..3207."
"78","POLR2J..5439."
"79","DHX33..56919."
"80","MEOX1..4222."
"81","THSD7A..221981."
"82","LIG3..3980."
"83","RPAP3..79657."
"84","ACSM3..6296."
"85","REXO5..81691."
"86","CIAPIN1..57019."
"87","SPPL2B..56928."
"88","FAM214B..80256."
"89","COPZ2..51226."
"90","PRKAR2B..5577."
"91","MSL3..10943."
"92","CREBBP..1387."
"93","TSPOAP1..9256."
"94","MPO..4353."
"95","PON1..5444."
"96","GCFC2..6936."
"97","WDR54..84058."
"98","CROT..54677."
"99","ABCB4..5244."
"100","KMT2E..55904."
"101","RHBDD2..57414."
"102","SOX8..30812."
"103","IBTK..25998."
"104","ZNF195..7748."
"105","MYCBP2..23077."
"106","FBXL3..26224."
"107","ITGAL..3683."
"108","PDK2..5164."
"109","ITGA3..3675."
"110","ZFX..7543."
"111","LAMP2..3920."
"112","ITGA2B..3674."
"113","ASB4..51666."
"114","GDE1..51573."
"115","REX1BD..55049."
"116","CRLF1..9244."
"117","OSBPL7..114881."
"118","TMEM98..26022."
"119","YBX2..51087."
"120","KRT33A..3883."
"121","MAP3K14..9020."
"122","ABCC8..6833."
"123","CACNG3..10368."
