"","x"
"1","BRD.A00578795.001.04.3..2.5..HTS"
"2","BRD.A00758722.001.04.9..2.5..HTS"
"3","BRD.A01643550.001.04.9..2.5..HTS"
"4","BRD.A03216249.003.24.3..2.5..HTS"
"5","BRD.A03506276.001.01.5..2.5..HTS"
"6","BRD.A03623303.045.09.5..2.5..HTS"
"7","BRD.A03932035.004.04.3..2.5..HTS"
"8","BRD.A06352418.001.25.9..2.5..HTS"
"9","BRD.A06352508.001.03.7..2.5..HTS"
"10","BRD.A06426627.001.03.5..2.5..HTS"
"11","BRD.A06627858.236.03.0..2.5..HTS"
"12","BRD.A08187463.001.12.9..2.5..HTS"
"13","BRD.A08545410.003.07.8..2.38..HTS"
"14","BRD.A08545410.311.03.4..2.5..HTS"
"15","BRD.A08660406.001.05.9..2.5..HTS"
"16","BRD.A08840375.001.01.3..2.5..HTS"
"17","BRD.A09349126.001.10.7..2.5..HTS"
"18","BRD.A09735281.001.02.5..2.5..HTS"
"19","BRD.A11551002.001.04.6..2.5..HTS"
"20","BRD.A11815689.001.01.1..2.5..HTS"
"21","BRD.A11990600.001.03.4..2.5..HTS"
"22","BRD.A12230535.001.06.7..2.5..HTS"
"23","BRD.A12896037.001.04.3..2.5..HTS"
"24","BRD.A13133631.001.04.0..2.5..HTS"
"25","BRD.A14344385.001.03.2..2.5..HTS"
"26","BRD.A15297126.001.04.3..2.5..HTS"
"27","BRD.A16700644.003.04.4..2.5..HTS"
"28","BRD.A17407635.001.04.0..2.5..HTS"
"29","BRD.A17846016.001.13.9..2.5..HTS"
"30","BRD.A22081593.001.11.1..2.5..HTS"
"31","BRD.A22707317.001.10.8..2.5..HTS"
"32","BRD.A23067620.300.01.3..2.5..HTS"
"33","BRD.A23127772.001.02.3..2.5..HTS"
"34","BRD.A24514565.001.09.7..2.5..HTS"
"35","BRD.A25004090.001.08.4..2.5..HTS"
"36","BRD.A25569250.001.03.3..2.5..HTS"
"37","BRD.A25608658.001.01.1..2.5..HTS"
"38","BRD.A25687296.300.04.3..2.5..HTS"
"39","BRD.A26032986.050.02.1..2.5..HTS"
"40","BRD.A27376179.001.01.3..2.5..HTS"
"41","BRD.A27883417.300.01.6..2.5..HTS"
"42","BRD.A28044053.001.01.7..2.5..HTS"
"43","BRD.A28301258.001.03.0..2.5..HTS"
"44","BRD.A28301258.001.04.8..2.5..HTS"
"45","BRD.A28467416.002.01.0..2.5..HTS"
"46","BRD.A28970875.300.04.9..2.5..HTS"
"47","BRD.A30886737.001.02.9..2.5..HTS"
"48","BRD.A31095847.001.02.3..2.5..HTS"
"49","BRD.A35588707.001.05.5..2.5..HTS"
"50","BRD.A36057565.001.01.0..2.5..HTS"
"51","BRD.A36267905.003.18.4..2.5..HTS"
"52","BRD.A36331462.001.02.1..2.5..HTS"
"53","BRD.A39935389.001.05.9..2.5..HTS"
"54","BRD.A42759514.001.20.5..2.5..HTS"
"55","BRD.A44500574.001.01.8..2.5..HTS"
"56","BRD.A45498368.001.07.1..2.5..HTS"
"57","BRD.A45889380.300.07.1..2.5..HTS"
"58","BRD.A47953250.001.01.7..2.5..HTS"
"59","BRD.A48237631.001.04.8..2.5..HTS"
"60","BRD.A48300215.001.04.8..2.5..HTS"
"61","BRD.A49035384.003.28.9..2.39..HTS"
"62","BRD.A49358627.001.14.6..2.5..HTS"
"63","BRD.A49765801.001.04.1..2.5..HTS"
"64","BRD.A50064262.001.04.7..2.5..HTS"
"65","BRD.A50157456.065.20.6..2.5..HTS"
"66","BRD.A50311610.300.10.4..2.5..HTS"
"67","BRD.A51571244.001.01.9..2.5..HTS"
"68","BRD.A51964809.003.12.6..2.5..HTS"
"69","BRD.A53134341.001.03.2..2.5..HTS"
"70","BRD.A54275602.001.01.0..2.5..HTS"
"71","BRD.A54927599.001.16.9..2.5..HTS"
"72","BRD.A55312468.001.04.7..1.24..HTS"
"73","BRD.A55424491.001.19.9..2.5..HTS"
"74","BRD.A55484088.050.02.5..2.5..HTS"
"75","BRD.A56085258.001.01.8..2.5..HTS"
"76","BRD.A57382968.001.29.0..2.5..HTS"
"77","BRD.A57798112.001.03.7..2.5..HTS"
"78","BRD.A57833392.001.01.7..2.5..HTS"
"79","BRD.A57886255.001.01.1..2.5..HTS"
"80","BRD.A58193911.003.18.7..2.5..HTS"
"81","BRD.A60197193.001.14.6..2.5..HTS"
"82","BRD.A64064900.001.02.3..2.5..HTS"
"83","BRD.A64242993.001.05.6..2.5..HTS"
"84","BRD.A65248799.001.01.7..2.5..HTS"
"85","BRD.A65671304.001.07.5..2.5..HTS"
"86","BRD.A66419424.001.02.4..2.5..HTS"
"87","BRD.A66869276.001.02.9..2.5..HTS"
"88","BRD.A67516570.001.02.8..2.5..HTS"
"89","BRD.A67748489.001.10.0..2.5..HTS"
"90","BRD.A68083442.001.01.6..2.5..HTS"
"91","BRD.A68304895.003.02.2..2.5..HTS"
"92","BRD.A68631409.001.05.4..2.5..HTS"
"93","BRD.A68969091.001.12.7..2.57..HTS"
"94","BRD.A69815203.001.07.6..2.5..HTS"
"95","BRD.A70083328.001.23.5..2.5..HTS"
"96","BRD.A70407468.001.02.0..2.5..HTS"
"97","BRD.A72703248.003.04.9..2.5..HTS"
"98","BRD.A72711497.236.03.8..2.5..HTS"
"99","BRD.A72716251.001.01.5..0.91..HTS"
"100","BRD.A73871920.236.03.6..2.5..HTS"
"101","BRD.A74208568.003.01.5..2.5..HTS"
"102","BRD.A74914197.001.02.9..2.5..HTS"
"103","BRD.A78588743.001.03.4..2.5..HTS"
"104","BRD.A79768653.001.12.0..2.5..HTS"
"105","BRD.A79803969.003.16.1..2.5..HTS"
"106","BRD.A80213327.305.08.3..2.5..HTS"
"107","BRD.A81129465.001.03.8..2.5..HTS"
"108","BRD.A81370665.001.03.6..2.5..HTS"
"109","BRD.A81541225.001.06.8..2.5..HTS"
"110","BRD.A86619021.001.04.8..2.5..HTS"
"111","BRD.A88138582.001.04.8..2.5..HTS"
"112","BRD.A91452556.001.04.0..2.5..HTS"
"113","BRD.A92439610.001.05.7..2.5..HTS"
"114","BRD.A92537424.001.04.7..2.5..HTS"
"115","BRD.A93093700.001.02.9..2.5..HTS"
"116","BRD.A93236127.001.04.5..2.5..HTS"
"117","BRD.A93477898.001.04.2..2.5..HTS"
"118","BRD.A94323479.001.02.8..2.5..HTS"
"119","BRD.A94756469.001.04.7..2.5..HTS"
"120","BRD.K00152668.001.01.5..2.5..HTS"
"121","BRD.K00259736.001.16.4..2.5..HTS"
"122","BRD.K00317371.001.06.1..2.4..HTS"
"123","BRD.K00337317.001.06.6..2.5..HTS"
"124","BRD.K00494077.066.01.9..2.5..HTS"
"125","BRD.K00535541.001.05.5..2.5..HTS"
"126","BRD.K00535541.001.06.3..2.5..HTS"
"127","BRD.K01029106.001.01.4..2.52..HTS"
"128","BRD.K01109406.001.03.7..2.5..HTS"
"129","BRD.K01507359.001.22.9..2.5..HTS"
"130","BRD.K01614093.001.02.6..2.5..HTS"
"131","BRD.K01624185.001.05.7..2.5..HTS"
"132","BRD.K01653460.001.01.1..2.5..HTS"
"133","BRD.K01669786.001.02.2..2.5..HTS"
"134","BRD.K01683783.001.02.6..2.5..HTS"
"135","BRD.K01773560.001.02.4..2.59..HTS"
"136","BRD.K02113016.001.15.4..2.5..HTS"
"137","BRD.K02130563.001.11.4..2.5..HTS"
"138","BRD.K02241333.001.02.7..2.5..HTS"
"139","BRD.K02389548.001.02.5..2.5..HTS"
"140","BRD.K02407574.001.09.7..2.5..HTS"
"141","BRD.K02594908.001.16.4..2.5..HTS"
"142","BRD.K02764365.001.13.6..2.5..HTS"
"143","BRD.K03063480.001.05.8..2.5..HTS"
"144","BRD.K03063480.001.06.6..2.42..HTS"
"145","BRD.K03109492.001.02.2..2.5..HTS"
"146","BRD.K03243820.001.23.8..2.37..HTS"
"147","BRD.K03243820.001.25.3..2.5..HTS"
"148","BRD.K03273112.001.01.8..2.5..HTS"
"149","BRD.K03289018.001.02.7..2.5..HTS"
"150","BRD.K03294269.001.08.0..2.5..HTS"
"151","BRD.K03384561.001.02.7..2.5..HTS"
"152","BRD.K03390685.001.01.7..2.5..HTS"
"153","BRD.K03406345.001.27.8..2.5..HTS"
"154","BRD.K03449891.001.08.6..2.5..HTS"
"155","BRD.K03549949.001.01.0..2.5..HTS"
"156","BRD.K03601870.001.01.2..2.5..HTS"
"157","BRD.K03739921.001.06.8..2.5..HTS"
"158","BRD.K04394237.001.03.7..2.49..HTS"
"159","BRD.K04430056.236.02.1..2.5..HTS"
"160","BRD.K04548931.003.16.5..2.5..HTS"
"161","BRD.K04552268.001.02.4..5..HTS"
"162","BRD.K04568635.300.01.4..2.5..HTS"
"163","BRD.K04623885.001.07.5..2.5..HTS"
"164","BRD.K04833372.001.06.2..2.5..HTS"
"165","BRD.K04923131.001.15.4..2.5..HTS"
"166","BRD.K04993719.001.01.7..2.5..HTS"
"167","BRD.K05104363.001.10.0..2.5..HTS"
"168","BRD.K05444225.001.01.7..2.5..HTS"
"169","BRD.K05445342.001.05.3..2.57..HTS"
"170","BRD.K05524748.003.04.4..2.5..HTS"
"171","BRD.K05804044.001.06.0..2.5..HTS"
"172","BRD.K06222852.001.03.2..2.5..HTS"
"173","BRD.K06234293.001.04.2..2.5..HTS"
"174","BRD.K06408664.001.03.5..2.5..HTS"
"175","BRD.K06426971.001.02.7..2.5..HTS"
"176","BRD.K06542892.001.01.9..2.5..HTS"
