"","x"
"1","TSPAN6"
"2","DPM1"
"3","SCYL3"
"4","C1orf112"
"5","FGR"
"6","CFH"
"7","FUCA2"
"8","GCLC"
"9","NFYA"
"10","STPG1"
"11","NIPAL3"
"12","LAS1L"
"13","ENPP4"
"14","SEMA3F"
"15","CFTR"
"16","ANKIB1"
"17","CYP51A1"
"18","KRIT1"
"19","RAD52"
"20","BAD"
"21","LAP3"
"22","CD99"
"23","HS3ST1"
"24","AOC1"
"25","WNT16"
"26","HECW1"
"27","MAD1L1"
"28","LASP1"
"29","SNX11"
"30","TMEM176A"
"31","M6PR"
"32","KLHL13"
"33","CYP26B1"
"34","ICA1"
"35","DBNDD1"
"36","ALS2"
"37","CASP10"
"38","CFLAR"
"39","TFPI"
"40","NDUFAF7"
"41","RBM5"
"42","MTMR7"
"43","SLC7A2"
"44","ARF5"
"45","SARM1"
"46","POLDIP2"
"47","PLXND1"
"48","AK2"
"49","CD38"
"50","FKBP4"
"51","KDM1A"
"52","RBM6"
"53","CAMKK1"
"54","RECQL"
"55","VPS50"
"56","HSPB6"
"57","ARHGAP33"
"58","NDUFAB1"
"59","PDK4"
"60","SLC22A16"
"61","ZMYND10"
"62","ABCB5"
"63","SLC25A13"
"64","ST7"
"65","CDC27"
"66","HCCS"
"67","DVL2"
"68","PRSS22"
"69","UPF1"
"70","SKAP2"
"71","SLC25A5"
"72","MCUB"
"73","HOXA11"
"74","POLR2J"
"75","DHX33"
"76","MEOX1"
"77","THSD7A"
"78","LIG3"
"79","RPAP3"
"80","ACSM3"
"81","REXO5"
"82","CIAPIN1"
"83","SPPL2B"
"84","FAM214B"
"85","COPZ2"
"86","PRKAR2B"
"87","MSL3"
"88","CREBBP"
"89","TSPOAP1"
"90","MPO"
"91","GCFC2"
"92","WDR54"
"93","CROT"
"94","ABCB4"
"95","KMT2E"
"96","RHBDD2"
"97","SOX8"
"98","IBTK"
"99","ZNF195"
"100","MYCBP2"
"101","FBXL3"
"102","ITGAL"
"103","PDK2"
"104","ITGA3"
"105","ZFX"
"106","LAMP2"
"107","ITGA2B"
"108","ASB4"
"109","GDE1"
"110","REX1BD"
"111","CRLF1"
"112","OSBPL7"
"113","TMEM98"
"114","YBX2"
"115","MAP3K14"
"116","ABCC8"
"117","TMEM132A"
"118","AP2B1"
"119","ZNF263"
"120","CX3CL1"
"121","SPATA20"
"122","CACNA1G"
"123","TNFRSF12A"
"124","DLX6"
"125","MAP3K9"
"126","RALA"
"127","BAIAP2L1"
"128","KDM7A"
"129","ETV1"
"130","AGK"
"131","ALDH3B1"
"132","TTC22"
"133","PHTF2"
"134","CCL26"
"135","FARP2"
"136","USH1C"
"137","GGCT"
"138","DBF4"
"139","TBXA2R"
"140","IFRD1"
"141","COX10"
"142","GTF2IRD1"
"143","PAF1"
"144","VPS41"
"145","ARHGAP44"
"146","ELAC2"
"147","SCIN"
"148","ARSD"
"149","PNPLA4"
"150","ADIPOR2"
"151","CDKL3"
"152","PRSS21"
"153","MARK4"
"154","PROM1"
"155","CCDC124"
"156","CEACAM21"
"157","PAFAH1B1"
"158","DNAH9"
"159","KIAA0100"
"160","GAS7"
"161","TRAPPC6A"
"162","MATK"
"163","CD79B"
"164","ST7L"
"165","TKTL1"
"166","PAX6"
"167","RPUSD1"
"168","RHBDF1"
"169","LUC7L"
"170","CACNA2D2"
"171","BAIAP3"
"172","TSR3"
"173","PIGQ"
"174","CRAMP1"
"175","TEAD3"
"176","DNAJC11"
"177","MYLIP"
"178","NOX1"
"179","E2F2"
"180","PSMB1"
"181","SYN1"
"182","JARID2"
"183","CDKL5"
"184","CDK11A"
"185","NADK"
"186","TFAP2B"
"187","CYTH3"
"188","ADAM22"
"189","SYPL1"
"190","CYB561"
"191","SPAG9"
"192","CELSR3"
