"","x"
"1","BRD.K35559145.050.08.5"
"2","BRD.A59198242.003.02.9"
"3","BRD.K28761384.300.01.0"
"4","BRD.K74186897.001.13.2"
"5","BRD.K17294426.050.12.3"
"6","BRD.K64557645.001.02.4"
"7","BRD.A55913614.316.09.6"
"8","BRD.K55930204.236.24.3"
"9","BRD.K62676709.065.05.5"
"10","BRD.K41445866.001.18.8"
"11","BRD.A09925278.003.05.6"
"12","BRD.A02006392.001.16.4"
"13","BRD.K27351809.001.09.5"
"14","BRD.K56343971.001.10.6"
"15","BRD.K63828191.003.32.1"
"16","BRD.K62736196.015.13.6"
"17","BRD.A84907376.300.03.8"
"18","BRD.K76810206.001.08.1"
"19","BRD.A22152765.003.10.0"
"20","BRD.K87774949.001.03.9"
"21","BRD.K56810756.001.03.0"
"22","BRD.K04548931.003.16.5"
"23","BRD.K57041787.001.02.6"
"24","BRD.K69600043.328.05.5"
"25","BRD.K68405354.001.07.2"
"26","BRD.K66404838.310.01.1"
"27","BRD.K38003476.001.09.1"
"28","BRD.K57432881.003.21.8"
"29","BRD.K57545991.050.23.1"
"30","BRD.K57569181.001.27.5"
"31","BRD.A66920069.001.01.3"
"32","BRD.K58010567.003.02.2"
"33","BRD.A58048407.001.18.8"
"34","BRD.K58114536.001.01.6"
"35","BRD.K77987382.001.13.2"
"36","BRD.K16484091.001.01.1"
"37","BRD.K43305603.004.02.8"
"38","BRD.K59037100.001.14.7"
"39","BRD.K59273480.001.10.6"
"40","BRD.K66850609.001.07.4"
"41","BRD.K19796430.001.05.6"
"42","BRD.K59632282.052.03.1"
"43","BRD.K59715032.362.01.4"
"44","BRD.K60160658.003.11.2"
"45","BRD.K71499074.001.12.9"
"46","BRD.K60237333.001.27.1"
"47","BRD.K60240222.001.01.4"
"48","BRD.K38684403.001.05.4"
"49","BRD.K68405354.001.06.4"
"50","BRD.K51247865.001.01.2"
"51","BRD.A61154809.001.15.9"
"52","BRD.K10071630.001.01.0"
"53","BRD.K61250553.003.32.2"
"54","BRD.K61397605.001.03.4"
"55","BRD.K60866521.001.07.1"
"56","BRD.K56558538.003.11.9"
"57","BRD.A57382968.001.29.0"
"58","BRD.K35559145.050.08.5"
"59","BRD.A59198242.003.02.9"
"60","BRD.K28761384.300.01.0"
"61","BRD.K74186897.001.13.2"
"62","BRD.K17294426.050.12.3"
"63","BRD.K64557645.001.02.4"
"64","BRD.A55913614.316.09.6"
"65","BRD.K55930204.236.24.3"
"66","BRD.K62676709.065.05.5"
"67","BRD.K41445866.001.18.8"
"68","BRD.A09925278.003.05.6"
"69","BRD.A02006392.001.16.4"
"70","BRD.K27351809.001.09.5"
"71","BRD.K56343971.001.10.6"
"72","BRD.K63828191.003.32.1"
"73","BRD.K62736196.015.13.6"
"74","BRD.A84907376.300.03.8"
"75","BRD.K76810206.001.08.1"
"76","BRD.A22152765.003.10.0"
"77","BRD.K87774949.001.03.9"
"78","BRD.K56810756.001.03.0"
"79","BRD.K04548931.003.16.5"
"80","BRD.K57041787.001.02.6"
"81","BRD.K69600043.328.05.5"
"82","BRD.K68405354.001.07.2"
"83","BRD.K66404838.310.01.1"
"84","BRD.K38003476.001.09.1"
"85","BRD.K57432881.003.21.8"
"86","BRD.K57545991.050.23.1"
"87","BRD.K57569181.001.27.5"
"88","BRD.A66920069.001.01.3"
"89","BRD.K58010567.003.02.2"
"90","BRD.A58048407.001.18.8"
"91","BRD.K58114536.001.01.6"
"92","BRD.K77987382.001.13.2"
"93","BRD.K16484091.001.01.1"
"94","BRD.K43305603.004.02.8"
"95","BRD.K59037100.001.14.7"
"96","BRD.K59273480.001.10.6"
"97","BRD.K66850609.001.07.4"
"98","BRD.K19796430.001.05.6"
