use,1,1,0,1,0,0,0,0,0
gene,panther_family,panther_protein,Drug_Name,MoA,Target_Gene,toppathway,molecular_function,drug_or_gene,gene_of_interest
UBD,ubiquitin d ,NA,NA,NA,NA,NA,NA,gene,NA
CXCL13,c-x-c motif chemokine 13 ,chemokine,NA,NA,NA,NA,NA,gene,NA
CXCL11,c-x-c motif chemokine 11 ,chemokine,NA,NA,NA,NA,NA,gene,NA
COL2A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
IDO1,"indoleamine 2,3-dioxygenase 1 ",oxygenase,NA,NA,NA,NA,NA,gene,NA
CCL5,c-c motif chemokine 5 ,cytokine,NA,NA,NA,NA,NA,gene,NA
PLAAT4,phospholipase a and acyltransferase 4 ,acyltransferase,NA,NA,NA,NA,NA,gene,NA
S100A8,protein s100-a8 ,calmodulin-related,NA,NA,NA,NA,NA,gene,NA
GZMB,granzyme b ,serine protease,NA,NA,NA,NA,NA,gene,NA
PSMB9,proteasome subunit beta type-9 ,protease,NA,NA,NA,NA,NA,gene,NA
IGJ,NA,NA,NA,NA,NA,NA,NA,gene,NA
IL23A,interleukin-23 subunit alpha ,interleukin superfamily,NA,NA,NA,NA,NA,gene,NA
CD52,campath-1 antigen ,NA,NA,NA,NA,NA,NA,gene,NA
KRT17,"keratin, type i cytoskeletal 17 ",intermediate filament,NA,NA,NA,NA,NA,gene,NA
KYNU,kynureninase ,hydrolase,NA,NA,NA,NA,NA,gene,NA
TNFSF10,tumor necrosis factor ligand superfamily member 10 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
MIA,melanoma-derived growth regulatory protein ,NA,NA,NA,NA,NA,NA,gene,NA
RTP4,receptor-transporting protein 4 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
ASPN,asporin ,NA,NA,NA,NA,NA,NA,gene,NA
KMO,kynurenine 3-monooxygenase ,oxygenase,NA,NA,NA,NA,NA,gene,NA
ITM2A,integral membrane protein 2a ,NA,NA,NA,NA,NA,NA,gene,NA
SFRP1,secreted frizzled-related protein 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TNFAIP8,tumor necrosis factor alpha-induced protein 8 ,NA,NA,NA,NA,NA,NA,gene,NA
KRT16,"keratin, type i cytoskeletal 16 ",intermediate filament,NA,NA,NA,NA,NA,gene,NA
FOXC1,forkhead box protein c1 ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
APOD,apolipoprotein d ,apolipoprotein,NA,NA,NA,NA,NA,gene,NA
PTGDS,prostaglandin-h2 d-isomerase ,transfer/carrier protein,NA,NA,NA,NA,NA,gene,NA
DUSP5,dual specificity protein phosphatase 5 ,protein phosphatase,NA,NA,NA,NA,NA,gene,NA
HTRA1,serine protease htra1 ,serine protease,NA,NA,NA,NA,NA,gene,NA
SPTLC2,serine palmitoyltransferase 2 ,transaminase,NA,NA,NA,NA,NA,gene,NA
AADAT,"kynurenine/alpha-aminoadipate aminotransferase, mitochondrial ",transaminase,NA,NA,NA,NA,NA,gene,NA
ABCA6,atp-binding cassette sub-family a member 6 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
ABCA8,abc-type organic anion transporter abca8 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
ABCA9,atp-binding cassette sub-family a member 9 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
ABCC9,atp-binding cassette sub-family c member 9 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
ABCD2,atp-binding cassette sub-family d member 2 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
ABI3BP,target of nesh-sh3 ,NA,NA,NA,NA,NA,NA,gene,NA
ACAP1,"arf-gap with coiled-coil, ank repeat and ph domain-containing protein 1 ",NA,NA,NA,NA,NA,NA,gene,NA
ACE,angiotensin-converting enzyme ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ACOD1,NA,NA,NA,NA,NA,NA,NA,gene,NA
ACSL5,long-chain-fatty-acid--coa ligase 5 ,ligase,NA,NA,NA,NA,NA,gene,NA
ACTA2,"actin, aortic smooth muscle ",actin and actin related protein,NA,NA,NA,NA,NA,gene,NA
ACVR1,activin receptor type-1 ,serine/threonine protein kinase receptor,NA,NA,NA,NA,NA,gene,NA
ACVRL1,serine/threonine-protein kinase receptor r3 ,serine/threonine protein kinase receptor,NA,NA,NA,NA,NA,gene,NA
ACY3,n-acyl-aromatic-l-amino acid amidohydrolase ,NA,NA,NA,NA,NA,NA,gene,NA
ADA2,adenosine deaminase 2 ,deaminase,NA,NA,NA,NA,NA,gene,NA
ADAM33,disintegrin and metalloproteinase domain-containing protein 33 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAM8,disintegrin and metalloproteinase domain-containing protein 8 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAMDEC1,adam dec1 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAMTS10,a disintegrin and metalloproteinase with thrombospondin motifs 10 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAMTS7,a disintegrin and metalloproteinase with thrombospondin motifs 7 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAMTS8,a disintegrin and metalloproteinase with thrombospondin motifs 8 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAMTS9,a disintegrin and metalloproteinase with thrombospondin motifs 9 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADAMTS9-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
ADAMTS9-AS2,NA,NA,NA,NA,NA,NA,NA,gene,NA
